CC(C)[C@H]([NH3+])C(=O)NCC[NH3+] ZINC000040832320
CC(C)[C@@H]([NH3+])C(=O)NCC[NH3+] ZINC000040832321
CCC[C@H]([NH3+])C(=O)NCC[NH3+] ZINC000040832336
CC(C)[NH2+]CC(=O)NCC[NH3+] ZINC000040832338
[NH3+]CCNC(=O)CC[NH2+]C1CC1 ZINC000040832339
CCC[C@](C)([NH3+])C(=O)NCC[NH3+] ZINC000040832344
CCC[C@@](C)([NH3+])C(=O)NCC[NH3+] ZINC000040832345
[NH3+]CCNC(=O)[C@H]([NH3+])c1ccccc1 ZINC000040832355
[NH3+]CCCCNC(=O)[C@H]1CCC[NH2+]1 ZINC000040832431
[NH3+]CCCCNC(=O)[C@@H]1CCC[NH2+]1 ZINC000040832432
[NH3+]CCCCNC(=O)C1CC[NH2+]CC1 ZINC000040832433
[NH3+]CCCCNC(=O)[C@@H]1CCCC[NH2+]1 ZINC000040832436
[NH3+]CCCCNC(=O)[C@H]1CCCC[NH2+]1 ZINC000040832437
[NH3+]CCCCNC(=O)CC[NH3+] ZINC000040832443
CC(C)[C@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000040832451
CC(C)[C@@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000040832452
C[C@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000040832453
C[NH2+]CC(=O)NCCCC[NH3+] ZINC000040832455
CC[C@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000040832487
CC[C@@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000040832488
CCC[C@H]([NH3+])C(=O)NCCCC[NH3+] ZINC000040832489
C[C@H]([NH3+])CC(=O)NCCCC[NH3+] ZINC000040832491
C[C@@H]([NH3+])CC(=O)NCCCC[NH3+] ZINC000040832492
[NH3+]CCCCNC(=O)C[NH2+]C1CC1 ZINC000040832493
CC(C)[NH2+]CC(=O)NCCCC[NH3+] ZINC000040832494
C[NH2+]CCCC(=O)NCCCC[NH3+] ZINC000040832495
